"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the Student application","Check if the Student appliation can be accessed by users","SUCCESS","2020-03-30T17:14:18.512-05:00","0.0","12.1"
"Testing different requests on the Student application","Create a new student & verify if the student is added","SUCCESS","2020-03-30T17:14:34.271-05:00","0.0","3.12"
